"filename", "language", "XML", "C#", "JSON", "Solution File", "YAML", "EditorConfig", "Properties", "SQL", "comment", "blank", "total"
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/ScoreGenreRelationship.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/MusicalScoresHandler.Repository.csproj", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/MusicalScoresHandlerDbContext.cs", "C#", 0, 85, 0, 0, 0, 0, 0, 0, 1, 18, 104
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/CopyrightRepository.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 0, 0, 22, 93
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/GenresRepository.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 24, 90
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/MusicalScoresRepository.cs", "C#", 0, 74, 0, 0, 0, 0, 0, 0, 0, 22, 96
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/PdfFilesRepository.cs", "C#", 0, 79, 0, 0, 0, 0, 0, 0, 0, 22, 101
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/Repository.cs", "C#", 0, 119, 0, 0, 0, 0, 0, 0, 0, 25, 144
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Repository/ScoreGenreRelationshipRepository.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 14, 70
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/bin/Debug/net8.0/MusicalScoresHandler.Repository.deps.json", "JSON", 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 342
